"","BLOCK_ID","GROUP_NUM","INT_LAT","INT_LON"
"1","130630402021073",12,33.6099988,-84.3998966
"2","130639800001026",0,33.6406513,-84.4482181
"3","130630402032002",0,33.618091,-84.4583104
"4","130639800001016",0,33.6391836,-84.4278048
"5","130630405152001",66,33.5304692,-84.4005997
"6","130630405092012",247,33.5812313,-84.4371063
"7","130630405092019",31,33.576692,-84.4472643
"8","130630405132004",25,33.5658438,-84.446967
"9","130630405223002",86,33.5801017,-84.39315
"10","130630402041001",1076,33.5990471,-84.435438
"11","130630402021080",9,33.5986344,-84.3958606
"12","130630402042003",0,33.6162741,-84.4399339
"13","130630402022019",0,33.6160229,-84.424214
"14","130630402021062",0,33.6165631,-84.399074
"15","130630403082010",64,33.6054489,-84.3676444
"16","130630403036007",56,33.6246328,-84.3597842
"17","130630403035004",0,33.6359003,-84.3588336
"18","130630403035010",50,33.6310111,-84.3540801
"19","130630403035012",69,33.6286877,-84.3527049
"20","130630403024024",0,33.6212129,-84.3611402
"21","130630403036013",20,33.6205432,-84.3581647
"22","130630403083009",46,33.6145782,-84.3621358
"23","130630403081084",0,33.6244612,-84.3830168
"24","130630403081108",8,33.6194212,-84.3659893
"25","130630403031012",0,33.6218464,-84.3485562
"26","130630404072034",0,33.6105263,-84.3323102
"27","130630406132000",194,33.5262418,-84.3372663
"28","130630406061001",15,33.4899799,-84.2986641
"29","130630406061020",23,33.4751434,-84.3107867
"30","130630406113020",2,33.5380855,-84.3599893
"31","130630406113016",2,33.5397587,-84.3645516
"32","130630406201003",125,33.4904227,-84.3489938
"33","130630406112017",27,33.5443878,-84.3572324
"34","130630406112023",18,33.5395215,-84.3570602
"35","130630402021013",0,33.6269569,-84.4095009
"36","130630402021059",0,33.6235222,-84.4000236
"37","130639800001057",0,33.6481826,-84.4555794
"38","130639800001038",0,33.6455182,-84.4454162
"39","130630404122016",0,33.5638672,-84.322959
"40","130630404161001",85,33.5815939,-84.3432047
"41","130630404072033",0,33.6105289,-84.3251333
"42","130630404101047",0,33.616353,-84.2931013
"43","130630404131008",81,33.5750418,-84.2938353
"44","130630404132028",90,33.5716812,-84.2811333
"45","130630406121010",0,33.5373082,-84.3507416
"46","130630406092012",89,33.5517199,-84.3315397
"47","130630406093002",0,33.5617452,-84.3169046
"48","130630406091018",0,33.5363524,-84.3501359
"49","130630406151010",10,33.5378731,-84.3244566
"50","130639800001029",0,33.6429492,-84.4471325
"51","130639800001011",0,33.6417265,-84.4018697
"52","130639800001014",0,33.6417028,-84.4010073
"53","130639800001013",0,33.6376196,-84.4017403
"54","130630404111004",1069,33.5959362,-84.2789766
"55","130630404162004",0,33.5734271,-84.344274
